time,AAPL,TSLA
2021-12-31,177.8004,355.7282
2022-01-03,181.4156,390.2519
2022-01-04,180.5574,387.3708
2022-01-05,177.2884,375.5189
2022-01-06,173.08,353.4321
2022-01-07,172.4383,346.423
2022-01-10,170.2886,339.1061
2022-01-11,173.6337,353.4942
2022-01-12,175.8343,365.3181
2022-01-13,173.9711,356.1911
2022-01-14,172.3612,345.0503
2022-01-18,170.5404,347.3889
2022-01-19,168.2999,338.4547
2022-01-20,167.0706,339.6337
2022-01-21,163.8807,321.275
2022-01-24,158.6897,295.9355
2022-01-25,159.4274,307.3258
2022-01-26,161.41,315.5959
2022-01-27,161.2969,289.0602
2022-01-28,167.3083,276.797
2022-01-31,173.1568,304.4411
2022-02-01,173.7061,309.0617
2022-02-02,174.9413,303.0949
2022-02-03,174.3835,303.1001
2022-02-04,172.3165,304.8534
2022-02-07,172.4426,307.4059
2022-02-08,173.8127,304.9393
2022-02-09,175.8287,310.9541
2022-02-10,173.5408,307.018
2022-02-11,170.1997,293.1574
2022-02-14,168.3917,291.81
2022-02-15,171.6596,304.818
2022-02-16,171.6489,304.7386
2022-02-17,170.1812,296.8698
2022-02-18,167.7969,285.3844
2022-02-22,164.5551,274.5847
2022-02-23,162.1577,263.2039
2022-02-24,158.0144,251.8314
2022-02-25,163.7895,267.3868
2022-02-28,164.268,285.2861
2022-03-01,164.16,289.2076
2022-03-02,165.8095,288.6066
2022-03-03,166.918,285.0334
2022-03-04,163.398,279.8899
2022-03-07,161.4026,277.0593
2022-03-08,158.7737,273.8044
2022-03-09,161.9446,283.561
2022-03-10,158.0284,276.7424
2022-03-11,156.1598,269.639
2022-03-14,151.683,257.9314
2022-03-15,153.4741,262.7294
2022-03-16,157.6528,275.9049
2022-03-17,159.4208,285.5174
2022-03-18,162.5971,298.7398
2022-03-21,164.7355,307.4873
2022-03-22,168.2308,321.0034
2022-03-23,170.7915,336.5311
2022-03-24,172.2655,336.2858
2022-03-25,174.0232,335.8521
2022-03-28,174.3754,359.9024
2022-03-29,177.8604,365.5399
2022-03-30,178.1191,366.1829
2022-03-31,175.8765,363.1294
2022-04-01,173.4143,360.4691
2022-04-04,177.4855,374.1053
2022-04-05,175.9791,371.3746
2022-04-06,171.7887,349.0846
2022-04-07,171.8049,350.4434
2022-04-08,170.5154,344.8107
2022-04-11,166.692,329.3049
2022-04-12,168.0916,332.427
2022-04-13,169.6805,334.9622
2022-04-14,167.2264,330.57
2022-04-18,164.9284,332.4786
2022-04-19,166.5491,340.4812
2022-04-20,167.3492,332.8011
2022-04-21,168.8014,348.7502
2022-04-22,164.2289,337.9642
2022-04-25,160.7032,330.9047
2022-04-26,158.6074,303.7762
2022-04-27,157.4448,298.9936
2022-04-28,161.8622,286.282
2022-04-29,160.7133,300.3742
2022-05-02,156.0357,292.3097
2022-05-03,158.8014,302.8939
2022-05-04,162.4245,305.7242
2022-05-05,158.143,296.7581
2022-05-06,157.3298,289.3578
2022-05-09,153.1029,270.0545
2022-05-10,154.8376,266.7964
2022-05-11,149.4468,255.2775
2022-05-12,142.066,240.3228
2022-05-13,146.3255,256.5688
2022-05-16,145.7814,246.8347
2022-05-17,148.443,250.0824
2022-05-18,142.6901,241.5649
2022-05-19,138.66,237.4546
2022-05-20,136.397,221.1671
2022-05-23,141.4344,220.9779
2022-05-24,139.4136,212.0776
2022-05-25,140.0769,217.4007
2022-05-26,142.3902,231.8051
2022-05-27,148.1995,249.216
2022-05-31,149.0998,253.2951
2022-06-01,149.3747,249.0146
2022-06-02,149.5215,256.9871
2022-06-03,145.8127,238.4253
2022-06-06,146.6167,238.7857
2022-06-07,147.5529,236.7132
2022-06-08,148.6118,244.901
2022-06-09,145.3266,247.6278
2022-06-10,138.1785,232.6588
2022-06-13,133.128,219.0915
2022-06-14,132.5738,218.7592
2022-06-15,134.625,227.9185
2022-06-16,130.4622,215.7674
2022-06-17,131.491,216.8353
2022-06-21,135.8508,237.601
2022-06-22,135.8581,239.5573
2022-06-23,137.2859,234.0531
2022-06-24,140.8332,243.4815
2022-06-27,142.0413,246.1282
2022-06-28,139.3752,239.5313
2022-06-29,139.2737,226.2679
2022-06-30,136.476,224.8518
2022-07-01,137.4774,225.5937
2022-07-05,139.7669,224.8749
2022-07-06,142.5582,230.4281
2022-07-07,145.6754,241.3002
2022-07-08,146.6409,250.1468
2022-07-11,145.1524,239.3195
2022-07-12,146.7948,233.1107
2022-07-13,145.1932,236.323
2022-07-14,146.591,233.8923
2022-07-15,149.5097,239.6746
2022-07-18,149.0297,246.2174
2022-07-19,149.7493,243.1688
2022-07-20,152.6255,248.3202
2022-07-21,154.3545,265.6636
2022-07-22,154.6233,275.2133
2022-07-25,153.3004,270.3138
2022-07-26,151.6799,260.6672
2022-07-27,155.2412,270.3485
2022-07-28,157.4654,279.1299
2022-07-29,162.249,289.7726
2022-08-01,162.1045,302.5142
2022-08-02,160.6921,301.7962
2022-08-03,164.9105,306.3223
2022-08-04,165.5946,309.0641
2022-08-05,164.7432,294.417
2022-08-08,165.8939,297.5273
2022-08-09,164.8395,284.1371
2022-08-10,168.3496,291.0492
2022-08-11,169.3737,291.1466
2022-08-12,171.0754,293.8519
2022-08-15,172.6254,307.9943
2022-08-16,172.7427,308.4057
2022-08-17,174.3135,304.2888
2022-08-18,174.1366,304.2353
2022-08-19,172.2302,295.689
2022-08-22,168.2677,289.1093
2022-08-23,167.6231,294.7901
2022-08-24,167.3144,300.1117
2022-08-25,169.3503,295.5359
2022-08-26,165.9997,292.6271
2022-08-29,161.5291,284.4058
2022-08-30,159.2926,279.4392
2022-08-31,158.3972,276.3753
2022-09-01,156.5232,271.3861
2022-09-02,157.6597,274.5814
2022-09-06,155.012,272.123
2022-09-07,155.306,279.9115
2022-09-08,154.3949,286.104
2022-09-09,156.6625,297.338
2022-09-12,162.4763,303.6127
2022-09-13,156.1544,293.8625
2022-09-14,155.2607,300.5355
2022-09-15,153.0058,304.8665
2022-09-16,150.2326,300.6219
2022-09-19,152.5543,306.3212
2022-09-20,156.1314,309.3083
2022-09-21,156.2959,307.5438
2022-09-22,152.5709,291.5978
2022-09-23,150.0222,276.65
2022-09-26,151.5222,278.2332
2022-09-27,152.1335,283.4808
2022-09-28,147.5981,283.4179
2022-09-29,142.9002,271.3946
2022-09-30,140.3818,269.0121
2022-10-03,141.2135,245.3577
2022-10-04,145.4907,249.7201
2022-10-05,145.2495,238.5136
2022-10-06,146.0741,239.3556
2022-10-07,140.7932,226.4628
2022-10-10,140.1978,223.4477
2022-10-11,139.5393,220.6912
2022-10-12,139.0968,215.6162
2022-10-13,139.7607,215.3832
2022-10-14,139.9229,211.6407
2022-10-17,141.9529,217.4758
2022-10-18,144.0619,221.6084
2022-10-19,143.4441,219.7439
2022-10-20,144.2072,208.5758
2022-10-21,145.5191,210.2686
2022-10-24,148.3743,205.6768
2022-10-25,151.4347,219.9929
2022-10-26,150.0488,226.5717
2022-10-27,145.3119,226.1389
2022-10-28,154.5822,224.182
2022-10-31,153.2791,226.6211
2022-11-01,150.9807,230.7892
2022-11-02,148.2186,222.012
2022-11-03,140.1145,216.3383
2022-11-04,137.3583,211.1258
2022-11-07,137.4671,200.0527
2022-11-08,139.5702,191.4195
2022-11-09,135.9897,184.5352
2022-11-10,144.1322,187.6075
2022-11-11,148.1929,191.468
2022-11-14,148.7236,191.8713
2022-11-15,151.2356,196.6521
2022-11-16,148.6596,188.3492
2022-11-17,149.706,183.5598
2022-11-18,151.1944,179.1596
2022-11-21,148.4817,170.8799
2022-11-22,149.1957,168.9139
2022-11-23,150.7871,179.4952
2022-11-25,148.1668,182.9317
2022-11-28,144.782,184.7959
2022-11-29,142.0517,182.4653
2022-11-30,145.1721,187.4975
2022-12-01,148.105,195.1277
2022-12-02,146.8594,193.446
2022-12-05,147.6384,184.6579
2022-12-06,143.7902,178.5344
2022-12-07,141.1601,174.1752
2022-12-08,142.5153,172.2853
2022-12-09,143.2204,179.496
2022-12-12,143.0063,170.4238
2022-12-13,146.5933,163.802
2022-12-14,144.2495,158.1331
2022-12-15,137.6359,157.5867
2022-12-16,134.9476,152.099
2022-12-19,132.4667,150.5498
2022-12-20,131.8489,142.6928
2022-12-21,135.315,138.7148
2022-12-22,131.8997,127.7514
2022-12-23,131.1521,123.9185
2022-12-27,129.9522,113.4453
2022-12-28,127.5918,111.9452
2022-12-29,129.4879,120.554
2022-12-30,128.8013,122.1341
2023-01-03,125.725,109.5078
2023-01-04,126.6464,111.7977
2023-01-05,126.0883,109.6541
2023-01-06,128.1982,109.0248
2023-01-09,131.6292,121.0363
2023-01-10,129.822,117.8401
2023-01-11,132.3081,122.6777
2023-01-12,133.171,121.0372
2023-01-13,133.6773,119.4746
2023-01-17,135.7587,129.3585
2023-01-18,136.3316,130.7704
2023-01-19,134.9653,127.1985
2023-01-20,136.3762,131.0354
2023-01-23,141.2116,141.1574
2023-01-24,142.0507,143.5041
2023-01-25,140.7526,143.3163
2023-01-26,143.3429,157.8064
2023-01-27,145.8365,172.965
2023-01-30,143.6524,172.279
2023-01-31,143.6473,170.7898
2023-02-01,143.8723,175.8396
2023-02-02,149.3764,190.5211
2023-02-03,154.2437,193.3842
2023-02-06,152.0939,194.5538
2023-02-07,153.4202,194.1225
2023-02-08,152.3636,200.2789
2023-02-09,152.2769,209.9267
2023-02-10,150.4054,198.1208
2023-02-13,153.231,193.2998
2023-02-14,152.5956,201.8225
2023-02-15,154.4536,211.6085
2023-02-16,154.7143,211.3216
2023-02-17,152.0451,202.9642
2023-02-21,149.3501,202.4126
2023-02-22,148.5494,197.461
2023-02-23,148.8407,200.6393
2023-02-24,146.3861,195.575
2023-02-27,148.1344,206.3174
2023-02-28,147.7996,207.0803
2023-03-01,145.868,201.4307
2023-03-02,145.1652,190.0234
2023-03-03,150.0304,197.507
2023-03-06,154.6895,195.2121
2023-03-07,152.2768,190.1195
2023-03-08,152.6973,181.8242
2023-03-09,152.4689,178.8095
2023-03-10,149.0716,174.2728
2023-03-13,151.1835,171.6746
2023-03-14,152.1061,181.1945
2023-03-15,151.7861,179.3899
2023-03-16,154.813,182.9179
2023-03-17,155.3402,180.4693
2023-03-20,156.6059,182.8769
2023-03-21,158.3406,193.691
2023-03-22,159.6832,196.6986
2023-03-23,159.5685,194.6499
2023-03-24,159.2417,189.5479
2023-03-27,159.0188,193.7046
2023-03-28,156.9785,188.2527
2023-03-29,160.216,192.3766
2023-03-30,162.0209,195.8746
2023-03-31,164.0421,203.6711
2023-04-03,165.3487,196.0193
2023-04-04,165.9131,193.0305
2023-04-05,163.4912,186.3169
2023-04-06,164.0257,184.0636
2023-04-10,161.2628,181.065
2023-04-11,161.1314,187.3863
2023-04-12,160.8845,184.4904
2023-04-13,164.3531,184.8249
2023-04-14,165.0394,184.0059
2023-04-17,164.8044,185.6576
2023-04-18,166.3535,185.1176
2023-04-19,167.2806,180.0481
2023-04-20,166.779,164.9342
2023-04-21,165.0754,164.1298
2023-04-24,164.9397,161.4701
2023-04-25,164.6479,161.7449
2023-04-26,163.9084,155.8253
2023-04-27,167.3197,157.2154
2023-04-28,168.9479,162.4465
2023-05-01,169.6586,161.3388
2023-05-02,168.6978,161.8159
2023-05-03,169.013,163.2688
2023-05-04,166.0983,161.3815
2023-05-05,173.3116,168.1264
2023-05-08,173.321,171.3729
2023-05-09,172.3162,168.1513
2023-05-10,173.1737,170.2634
2023-05-11,173.4903,169.581
2023-05-12,172.3696,171.2819
2023-05-15,172.1109,166.901
2023-05-16,172.2781,167.3766
2023-05-17,171.85,172.3315
2023-05-18,174.3014,174.8142
2023-05-19,175.5191,179.5693
2023-05-22,174.1828,185.6701
2023-05-23,172.1908,188.7664
2023-05-24,171.5088,181.4964
2023-05-25,172.8818,184.1518
2023-05-26,175.1454,193.1191
2023-05-30,177.4489,200.4723
2023-05-31,177.9376,199.4814
2023-06-01,179.3796,205.0753
2023-06-02,180.6479,214.4711
2023-06-05,182.1408,218.1987
2023-06-06,178.7093,218.0639
2023-06-07,178.6619,226.6049
2023-06-08,179.5493,231.9463
2023-06-09,181.4395,247.1601
2023-06-12,182.836,247.9797
2023-06-13,183.1702,255.9313
2023-06-14,183.7101,257.1938
2023-06-15,185.5672,255.4895
2023-06-16,185.4644,260.5693
2023-06-20,185.2709,267.9665
2023-06-21,184.0809,265.4343
2023-06-22,186.1166,259.8135
2023-06-23,186.4952,257.7192
2023-06-26,186.3292,248.4735
2023-06-27,187.4998,246.0817
2023-06-28,188.8916,255.8218
2023-06-29,189.5561,256.8825
2023-06-30,193.102,262.7358
2023-07-03,192.6624,279.4365
2023-07-05,191.5803,280.5643
2023-07-06,190.8214,276.5306
2023-07-07,191.4218,277.4963
2023-07-10,188.3628,269.9791
2023-07-11,187.8219,268.5294
2023-07-12,189.9586,273.493
2023-07-13,190.565,274.8434
2023-07-14,190.4662,280.6967
2023-07-17,193.2997,288.1194
2023-07-18,193.3846,290.1081
2023-07-19,194.9188,294.2295
2023-07-20,194.276,269.7666
2023-07-21,192.5948,261.901
2023-07-24,193.2011,264.1066
2023-07-25,193.804,268.5547
2023-07-26,194.3737,264.8215
2023-07-27,194.8773,262.8828
2023-07-28,195.8075,264.2884
2023-07-31,196.1507,266.6378
2023-08-01,195.8486,262.3584
2023-08-02,192.9395,254.7165
2023-08-03,191.1312,256.8055
2023-08-04,184.279,258.2077
2023-08-07,179.0119,247.8972
2023-08-08,178.9854,248.5626
2023-08-09,178.4887,245.2037
2023-08-10,178.7951,246.9181
2023-08-11,177.8056,241.4995
2023-08-14,178.9475,237.8669
2023-08-15,177.9886,235.1623
2023-08-16,177.4133,229.1976
2023-08-17,174.5857,222.85
2023-08-18,173.8904,215.3288
2023-08-21,175.2221,227.5632
2023-08-22,177.0098,234.5499
2023-08-23,180.6482,235.0747
2023-08-24,177.7035,231.9755
2023-08-25,177.9075,235.0638
2023-08-28,179.6595,238.5989
2023-08-29,183.28,250.6305
2023-08-30,186.93,255.8745
2023-08-31,188.1489,258.0347
2023-09-01,189.0424,248.2783
2023-09-05,189.1084,253.7066
2023-09-06,183.786,249.5469
2023-09-07,176.7332,248.2384
2023-09-08,179.0663,251.3775
2023-09-11,178.8465,268.7353
2023-09-12,176.7048,271.5987
2023-09-13,175.0352,271.5792
2023-09-14,175.3715,274.4959
2023-09-15,175.0843,274.3254
2023-09-18,177.8915,266.8305
2023-09-19,178.4293,264.9527
2023-09-20,176.9653,268.2638
2023-09-21,174.8619,257.4932
2023-09-22,175.4667,251.4177
2023-09-25,175.6665,244.196
2023-09-26,172.7156,245.5599
2023-09-27,170.5335,240.4794
2023-09-28,170.297,243.9989
2023-09-29,171.5997,251.0357
2023-10-02,173.2879,249.4017
2023-10-03,172.1342,247.3658
2023-10-04,172.9437,255.8023
2023-10-05,174.2297,259.6693
2023-10-06,176.3366,256.3231
2023-10-09,177.8683,256.316
2023-10-10,178.6901,264.9455
2023-10-11,178.9503,264.0689
2023-10-12,180.9482,261.7214
2023-10-13,179.4154,254.0476
2023-10-16,178.1478,252.9076
2023-10-17,176.8623,253.2246
2023-10-18,176.3501,246.0077
2023-10-19,176.215,221.9815
2023-10-20,173.7459,214.0053
2023-10-23,172.3829,211.5664
2023-10-24,172.7333,217.6314
2023-10-25,171.4932,215.9507
2023-10-26,167.5944,208.3265
2023-10-27,167.9072,208.6603
2023-10-30,170.0788,200.01
2023-10-31,169.9252,199.042
2023-11-01,172.6187,201.9491
2023-11-02,176.6794,216.3665
2023-11-03,175.5751,221.1584
2023-11-06,178.5589,219.5877
2023-11-07,181.2627,219.1401
2023-11-08,182.6566,220.3064
2023-11-09,182.912,211.8254
2023-11-10,185.4104,211.7762
2023-11-13,184.8317,221.1108
2023-11-14,187.2038,234.6568
2023-11-15,188.4191,242.712
2023-11-16,189.7109,235.5195
2023-11-17,189.6022,233.2793
2023-11-20,191.2984,234.2284
2023-11-21,190.51,240.8894
2023-11-22,191.7223,234.7311
2023-11-24,189.7899,236.3998
2023-11-27,189.7974,235.6226
2023-11-28,190.165,241.1269
2023-11-29,189.9974,248.0515
2023-11-30,189.337,240.6912
2023-12-01,190.8613,236.4795
2023-12-04,188.916,236.4293
2023-12-05,193.1715,241.0369
2023-12-06,192.8014,243.3527
2023-12-07,194.3967,240.8987
2023-12-08,195.1638,243.0075
2023-12-11,192.7089,240.1813
2023-12-12,193.7834,235.8497
2023-12-13,196.9085,233.8525
2023-12-14,198.2872,248.748
2023-12-15,197.56,252.0408
2023-12-18,195.6255,254.9377
2023-12-19,196.5277,256.1921
2023-12-20,196.142,254.4666
2023-12-21,194.7425,252.0455
2023-12-22,194.1013,255.1771
2023-12-26,193.1713,256.3719
2023-12-27,192.5679,261.7265
2023-12-28,193.9222,258.4918
2023-12-29,192.5761,250.3555
